age,ai_confidence,ai_prediction,ai_shown,big5_agreeableness,big5_conscientiousness,big5_extraversion,big5_neuroticism,big5_open_mindedness,big5_timestamp,confidence,created_at,current_phase,experience_level,facet_aesthetic_sensitivity,facet_anxiety,facet_assertiveness,facet_compassion,facet_creative_imagination,facet_depression,facet_emotional_volatility,facet_energy_level,facet_intellectual_curiosity,facet_organization,facet_productiveness,facet_respectfulness,facet_responsibility,facet_sociability,facet_trust,final_confidence,final_decision,gender,ground_truth_binary,ground_truth_raw,healthcare_qualification,initial_confidence,initial_decision,iq_completed_at,iq_score,iq_time_remaining,participant_id,phase1_completed_at,phase1_video_watched,phase2_completed_at,residence,reverted_decision,school,symptom1,symptom2,treatment_group,trial_duration,trial_end_time,trial_id,trial_image,trial_image_name,trial_original_image_name,trial_start_time,user_id
17,0.8646,0,True,3.17,3.67,2.92,2.83,3.67,1770285974132,4,2026-02-05T09:59:00.270000+00:00,phase2_completed,none,3.25,3.25,3,3.25,4,3.5,1.75,3.75,3.75,3.75,4.25,3.25,3,2,3,6,0,male,0,0,none,4,0,1770286535890,5,42,0-3L7D9,1770287124686,True,1772706612921,village,False,secondary,nincsen,nincsen,0,34.248,1772706218280,p2_trial_28,9719890R.png,25.png,9719890R.png,1772706184032,0-3L7D9
17,0.6057,0,True,3.17,3.67,2.92,2.83,3.67,1770285974132,2,2026-02-05T09:59:00.270000+00:00,phase2_completed,none,3.25,3.25,3,3.25,4,3.5,1.75,3.75,3.75,3.75,4.25,3.25,3,2,3,5,0,male,1,2,none,2,1,1770286535890,5,42,0-3L7D9,1770287124686,True,1772706612921,village,True,secondary,nincsen,tunet,0,40.501,1772706259200,p2_trial_29,9606955R.png,11.png,9606955R.png,1772706218699,0-3L7D9
17,0.8517,0,True,3.17,3.67,2.92,2.83,3.67,1770285974132,4,2026-02-05T09:59:00.270000+00:00,phase2_completed,none,3.25,3.25,3,3.25,4,3.5,1.75,3.75,3.75,3.75,4.25,3.25,3,2,3,6,0,male,0,0,none,4,0,1770286535890,5,42,0-3L7D9,1770287124686,True,1772706612921,village,False,secondary,nincsen,nincsen,0,50.236,1772705156752,p2_trial_3,9810475L.png,13.png,9810475L.png,1772705106516,0-3L7D9
17,0.645,0,True,3.17,3.67,2.92,2.83,3.67,1770285974132,4,2026-02-05T09:59:00.270000+00:00,phase2_completed,none,3.25,3.25,3,3.25,4,3.5,1.75,3.75,3.75,3.75,4.25,3.25,3,2,3,6,0,male,0,0,none,4,0,1770286535890,5,42,0-3L7D9,1770287124686,True,1772706612921,village,False,secondary,nincsen,nincsen,0,18.31,1772706277857,p2_trial_30,9480211R.png,3.png,9480211R.png,1772706259547,0-3L7D9
17,0.0496,1,True,3.17,3.67,2.92,2.83,3.67,1770285974132,4,2026-02-05T09:59:00.270000+00:00,phase2_completed,none,3.25,3.25,3,3.25,4,3.5,1.75,3.75,3.75,3.75,4.25,3.25,3,2,3,5,1,male,0,0,none,4,1,1770286535890,5,42,0-3L7D9,1770287124686,True,1772706612921,village,False,secondary,nincsen,tunet,0,22.669,1772706300936,p2_trial_31,9023935L.png,41.png,9023935L.png,1772706278267,0-3L7D9
17,0.4814,0,True,3.17,3.67,2.92,2.83,3.67,1770285974132,3,2026-02-05T09:59:00.270000+00:00,phase2_completed,none,3.25,3.25,3,3.25,4,3.5,1.75,3.75,3.75,3.75,4.25,3.25,3,2,3,3,0,male,0,0,none,3,0,1770286535890,5,42,0-3L7D9,1770287124686,True,1772706612921,village,False,secondary,nincsen,nincsen,0,28.71,1772706329984,p2_trial_32,9645608L.png,43.png,9645608L.png,1772706301274,0-3L7D9
17,0.9843,1,True,3.17,3.67,2.92,2.83,3.67,1770285974132,3,2026-02-05T09:59:00.270000+00:00,phase2_completed,none,3.25,3.25,3,3.25,4,3.5,1.75,3.75,3.75,3.75,4.25,3.25,3,2,3,5,1,male,1,2,none,3,0,1770286535890,5,42,0-3L7D9,1770287124686,True,1772706612921,village,True,secondary,bizonytalan,nincsen,0,24.317,1772706354696,p2_trial_33,9322109R.png,14.png,9322109R.png,1772706330379,0-3L7D9
17,0.9974,1,True,3.17,3.67,2.92,2.83,3.67,1770285974132,6,2026-02-05T09:59:00.270000+00:00,phase2_completed,none,3.25,3.25,3,3.25,4,3.5,1.75,3.75,3.75,3.75,4.25,3.25,3,2,3,7,1,male,1,3,none,6,1,1770286535890,5,42,0-3L7D9,1770287124686,True,1772706612921,village,False,secondary,tunet,tunet,0,24.964,1772706380032,p2_trial_34,9271965R.png,47.png,9271965R.png,1772706355068,0-3L7D9
17,0.916,1,True,3.17,3.67,2.92,2.83,3.67,1770285974132,6,2026-02-05T09:59:00.270000+00:00,phase2_completed,none,3.25,3.25,3,3.25,4,3.5,1.75,3.75,3.75,3.75,4.25,3.25,3,2,3,5,1,male,1,2,none,6,0,1770286535890,5,42,0-3L7D9,1770287124686,True,1772706612921,village,True,secondary,nincsen,nincsen,0,24.064,1772706404488,p2_trial_35,9862321L.png,17.png,9862321L.png,1772706380424,0-3L7D9
17,0.0389,1,True,3.17,3.67,2.92,2.83,3.67,1770285974132,5,2026-02-05T09:59:00.270000+00:00,phase2_completed,none,3.25,3.25,3,3.25,4,3.5,1.75,3.75,3.75,3.75,4.25,3.25,3,2,3,5,0,male,0,0,none,5,0,1770286535890,5,42,0-3L7D9,1770287124686,True,1772706612921,village,False,secondary,nincsen,nincsen,0,13.256,1772706418112,p2_trial_36,9911788L.png,10.png,9911788L.png,1772706404856,0-3L7D9
17,0.9625,1,True,3.17,3.67,2.92,2.83,3.67,1770285974132,5,2026-02-05T09:59:00.270000+00:00,phase2_completed,none,3.25,3.25,3,3.25,4,3.5,1.75,3.75,3.75,3.75,4.25,3.25,3,2,3,7,1,male,1,3,none,5,1,1770286535890,5,42,0-3L7D9,1770287124686,True,1772706612921,village,False,secondary,tunet,tunet,0,17.929,1772706436688,p2_trial_37,9037494R.png,31.png,9037494R.png,1772706418759,0-3L7D9
17,0.401,0,True,3.17,3.67,2.92,2.83,3.67,1770285974132,5,2026-02-05T09:59:00.270000+00:00,phase2_completed,none,3.25,3.25,3,3.25,4,3.5,1.75,3.75,3.75,3.75,4.25,3.25,3,2,3,6,0,male,0,0,none,5,0,1770286535890,5,42,0-3L7D9,1770287124686,True,1772706612921,village,False,secondary,nincsen,nincsen,0,12.432,1772706449488,p2_trial_38,9035779L.png,45.png,9035779L.png,1772706437056,0-3L7D9
17,0.5823,0,True,3.17,3.67,2.92,2.83,3.67,1770285974132,6,2026-02-05T09:59:00.270000+00:00,phase2_completed,none,3.25,3.25,3,3.25,4,3.5,1.75,3.75,3.75,3.75,4.25,3.25,3,2,3,7,0,male,1,2,none,6,0,1770286535890,5,42,0-3L7D9,1770287124686,True,1772706612921,village,False,secondary,nincsen,nincsen,0,9.81,1772706459648,p2_trial_39,9008884R.png,20.png,9008884R.png,1772706449838,0-3L7D9
17,0.9124,0,True,3.17,3.67,2.92,2.83,3.67,1770285974132,5,2026-02-05T09:59:00.270000+00:00,phase2_completed,none,3.25,3.25,3,3.25,4,3.5,1.75,3.75,3.75,3.75,4.25,3.25,3,2,3,6,0,male,0,0,none,5,0,1770286535890,5,42,0-3L7D9,1770287124686,True,1772706612921,village,False,secondary,nincsen,nincsen,0,20.862,1772705178024,p2_trial_4,9717450L.png,40.png,9717450L.png,1772705157162,0-3L7D9
17,0.5825,0,True,3.17,3.67,2.92,2.83,3.67,1770285974132,4,2026-02-05T09:59:00.270000+00:00,phase2_completed,none,3.25,3.25,3,3.25,4,3.5,1.75,3.75,3.75,3.75,4.25,3.25,3,2,3,3,1,male,1,2,none,4,1,1770286535890,5,42,0-3L7D9,1770287124686,True,1772706612921,village,False,secondary,nincsen,tunet,0,13.676,1772706473712,p2_trial_40,9626432R.png,15.png,9626432R.png,1772706460036,0-3L7D9
17,0.584,0,True,3.17,3.67,2.92,2.83,3.67,1770285974132,4,2026-02-05T09:59:00.270000+00:00,phase2_completed,none,3.25,3.25,3,3.25,4,3.5,1.75,3.75,3.75,3.75,4.25,3.25,3,2,3,5,0,male,0,0,none,4,0,1770286535890,5,42,0-3L7D9,1770287124686,True,1772706612921,village,False,secondary,nincsen,nincsen,0,10.522,1772706484609,p2_trial_41,9598675R.png,27.png,9598675R.png,1772706474087,0-3L7D9
